Time,CPU
19:30:57,7.4
19:30:58,13.6
19:30:59,6.6
19:31:00,17.3
19:31:01,32
19:31:02,10.5
19:31:03,13.1
19:31:04,11.6
19:31:05,8.2
19:31:06,13.7
19:31:07,26.8
19:31:08,10.9
19:31:09,10.5
19:31:10,11.7
19:31:11,9.7
19:31:12,13.4
19:31:13,35.5
19:31:14,13.6
19:31:15,11.2
19:31:16,12.4
19:31:17,7.8
19:31:18,12
19:31:19,28.3
19:31:20,15.1
19:31:21,10.9
19:31:22,28.7
19:31:23,26.8
19:31:24,27.8
19:31:25,42.5
19:31:26,17.9
19:31:27,5.1
19:31:28,9
19:31:29,7.4
19:31:30,28.7
19:31:31,27.4
19:31:32,13.9
19:31:33,14
19:31:34,16.3
19:31:35,20.5
19:31:36,15.8
19:31:37,27.2
19:31:38,16.3
19:31:39,10
19:31:40,8.6
19:31:41,14.4
19:31:42,13.8
19:31:43,60.7
19:31:44,17.1
19:31:45,10.1
19:31:46,12.5
19:31:47,9.7
19:31:48,13.1
19:31:49,31.5
19:31:50,29
19:31:51,8.2
19:31:52,9.3
19:31:53,9.7
19:31:54,10.9
19:31:55,21.7
19:31:56,24.8
19:31:57,15.1
19:31:58,19.1
19:31:59,29.7
19:32:00,31.7
19:32:01,38.5
19:32:02,41.9
19:32:03,28.9
19:32:04,22.4
19:32:05,8.1
19:32:06,7.4
19:32:07,27.3
19:32:08,13.2
19:32:09,15.9
19:32:10,8.9
19:32:11,9.7
19:32:12,9.7
19:32:13,28.7
19:32:14,15.6
19:32:15,9
19:32:16,11.2
19:32:17,11.2
19:32:18,9.7
19:32:19,32.4
19:32:20,26.6
19:32:21,10.1
19:32:22,29.7
19:32:23,27.6
19:32:24,28.4
19:32:25,33.1
19:32:26,16.5
19:32:27,7.4
19:32:28,12
19:32:29,12.1
19:32:30,30.9
19:32:31,31.3
19:32:32,20.1
19:32:33,7.8
19:32:34,10.5
19:32:35,13.1
19:32:36,13.1
19:32:37,25.2
19:32:38,24.9
19:32:39,15.7
19:32:40,12
19:32:41,9.7
19:32:42,10.5
19:32:43,26.2
19:32:44,44.2
19:32:45,10.5
